track_width [mm],Freq [GHz],"dB(S(2,1)) []",Loss / cm,
0.2185,6.875,-0.123760723,0.123760723,
0.2185,7,-0.125350832,0.125350832,
0.2185,7.125,-0.126929977,0.126929977,
0.2185,7.25,-0.128497626,0.128497626,
0.2185,7.375,-0.130053444,0.130053444,
0.2185,7.5,-0.131597328,0.131597328,
0.2185,7.625,-0.133129453,0.133129453,
0.2185,7.75,-0.134650306,0.134650306,
0.2185,7.875,-0.136160735,0.136160735,
0.2185,8,-0.137661989,0.137661989,
0.2185,8.125,-0.139155763,0.139155763,
0.2185,8.25,-0.140644241,0.140644241,
0.2185,8.375,-0.142130144,0.142130144,
0.2185,8.5,-0.143616771,0.143616771,
0.2185,8.625,-0.145108047,0.145108047,
0.2185,8.75,-0.146608565,0.146608565,
0.2185,8.875,-0.148123633,0.148123633,
0.2185,9,-0.149659314,0.149659314,
0.2185,9.125,-0.151222469,0.151222469,
0.2185,9.25,-0.1528208,0.1528208,
0.2185,9.375,-0.154462884,0.154462884,
0.2185,9.5,-0.156158217,0.156158217,
0.2185,9.625,-0.157917244,0.157917244,
0.2185,9.75,-0.159751393,0.159751393,
0.2185,9.875,-0.161673104,0.161673104,
0.2185,10,-0.16369586,0.16369586,
0.2185,10.125,-0.165383402,0.165383402,
0.2185,10.25,-0.167065137,0.167065137,
0.2185,10.375,-0.168741664,0.168741664,
0.2185,10.5,-0.170413457,0.170413457,
0.2185,10.625,-0.172080738,0.172080738,
0.2185,10.75,-0.17374349,0.17374349,
0.2185,10.875,-0.175401498,0.175401498,
0.2185,11,-0.177054409,0.177054409,
0.2185,11.125,-0.178701772,0.178701772,
0.2185,11.25,-0.18034308,0.18034308,
0.2185,11.375,-0.181977802,0.181977802,
0.2185,11.5,-0.183605403,0.183605403,
0.2185,11.625,-0.185225363,0.185225363,
0.2185,11.75,-0.186837188,0.186837188,
0.2185,11.875,-0.188440424,0.188440424,
0.2185,12,-0.19003466,0.19003466,
0.2185,12.125,-0.191619529,0.191619529,
0.2185,12.25,-0.19319472,0.19319472,
0.2185,12.375,-0.194759971,0.194759971,
0.2185,12.5,-0.196315074,0.196315074,
0.2185,12.625,-0.197859874,0.197859874,
0.2185,12.75,-0.199394271,0.199394271,
0.2185,12.875,-0.20091822,0.20091822,
0.2185,13,-0.20243173,0.20243173,
0.2185,13.125,-0.203934866,0.203934866,
0.2185,13.25,-0.205427749,0.205427749,
0.2185,13.375,-0.206910558,0.206910558,
0.2185,13.5,-0.208383529,0.208383529,
0.2185,13.625,-0.209846954,0.209846954,
0.2185,13.75,-0.211301185,0.211301185,
0.2185,13.875,-0.212746628,0.212746628,
0.2185,14,-0.214183747,0.214183747,
0.2185,14.125,-0.215613057,0.215613057,
0.2185,14.25,-0.217035126,0.217035126,
0.2185,14.375,-0.218450568,0.218450568,
0.2185,14.5,-0.219860041,0.219860041,
0.2185,14.625,-0.221264239,0.221264239,
0.2185,14.75,-0.222663893,0.222663893,
0.2185,14.875,-0.224059756,0.224059756,
0.2185,15,-0.225452602,0.225452602,
0.2185,15.125,-0.226843219,0.226843219,
0.2185,15.25,-0.228232398,0.228232398,
0.2185,15.375,-0.229620928,0.229620928,
0.2185,15.5,-0.231009586,0.231009586,
0.2185,15.625,-0.232399132,0.232399132,
